,Username,comment,clean_comments,tags
63,Anthony Mburu,Na mtu akiitwa PROJECT mnazusha..!!,Na mtu akiitwa PROJECT mnazusha,[]
64,Professor Peter Cephas,https://youtube.com/c/PUKTTAMEDIA,,[]
65,Grace Mumbua,Grace Mumbua,Grace Mumbua,"[('Grace', 'POLITICIAN')]"
66,George Andiego Ali,Azimioooo ndani ndani ndani ndani,Azimioooo ndani ndani ndani ndani,[]
67,Ken Osango,Too many scheming overlooking the electorate is surely spoiling the broth. They should scheme by convincing us what better they can do for us and not just scheming for the purpose of remaining in the system.,Too many scheming overlooking the electorate is surely spoiling the broth They should scheme by convincing us what better they can do for us and not just scheming for the purpose of remaining in the system,"[('for', 'POLITICAL_PARTY'), ('and', 'POLITICAL_PARTY'), ('for', 'POLITICAL_PARTY'), ('of', 'POLITICAL_PARTY')]"
68,Gerald Gichia,"How is it a shocker?The owners of the party clearly has a right to nominate who he believes can serve his interests,otherwise one is free to form your own party or avoid going in their parties.",How is it a shockerThe owners of the party clearly has a right to nominate who he believes can serve his interestsotherwise one is free to form your own party or avoid going in their parties,"[('of', 'POLITICAL_PARTY'), ('party', 'POLITICAL_PARTY'), ('one', 'UHURU'), ('party', 'POLITICAL_PARTY')]"
69,John Githui,Kenyans problems in one picture,Kenyans problems in one picture,"[('one', 'UHURU')]"
70,Joanne Nanjala,Na mjue uhuru has over 50%shares in NTV,Na mjue uhuru has over shares in NTV,[]
71,Ochieng Ochiel,"Bring it on, provided kura iko kwa baba..",Bring it on provided kura iko kwa baba,[]
72,Jose Jose,They are the ones who will be shocked first with their secret plans,They are the ones who will be shocked first with their secret plans,[]
73,Maalinki Hassanow,Assmio will never defeat hustler,Assmio will never defeat hustler,[]
74,Kipkirui Felix,Ruto is Next president,Ruto is Next president,"[('Ruto', 'RUTO')]"
75,Samuel Saimon,Ruto my nxt president,Ruto my nxt president,"[('Ruto', 'RUTO')]"
76,Albert Kariuki,not yet Uhuru,not yet Uhuru,"[('Uhuru', 'UHURU')]"
77,Bro Paul Munyao,Uda,Uda,[]
78,Kelsea Kageha,Useless ASSmio 🤣😆 🇰🇪🇰🇪 UDA ANC Fk 💥💥💥💥💪🏾💪🏾,Useless ASSmio UDA ANC Fk,"[('UDA', 'POLITICAL_PARTY'), ('ANC', 'POLITICAL_PARTY')]"
79,Horace Gwako,Ruto My President,Ruto My President,"[('Ruto', 'RUTO')]"
80,Wa Muturi Na Chege,Say no to assmio,Say no to assmio,[]
81,Thomas Hamisi Aka Deheart,Raila the 5th,Raila the th,"[('Raila', 'RAILA')]"
0,Benson Mwaura Mburu,"Plasms 94 is a good assurance for Divine justice,no insults go and read.His Divine recompense is timely and He will act. 😳",Plasms is a good assurance for Divine justiceno insults go and readHis Divine recompense is timely and He will act,"[('for', 'POLITICAL_PARTY'), ('and', 'POLITICAL_PARTY'), ('and', 'POLITICAL_PARTY')]"
1,Nickson Ekume,So will he still run for presidency the fact that he has been mentioned in ICC case on crime against humanity not forgetting chapter six of our constitution ..?? How will IEBC clear him? Its clear now his name won't be on ballot box unless cleared by ICC,So will he still run for presidency the fact that he has been mentioned in ICC case on crime against humanity not forgetting chapter six of our constitution  How will IEBC clear him Its clear now his name wont be on ballot box unless cleared by ICC,"[('for', 'POLITICAL_PARTY'), ('of', 'POLITICAL_PARTY')]"
2,George Waithaka,William Ruto You Can Dethrone the Truth You Can Send The Truth To The Exile ..But The Truth Shall Find It's Way Back.  Continue Resting in Peace Meshach Yebei😭😭,William Ruto You Can Dethrone the Truth You Can Send The Truth To The Exile But The Truth Shall Find Its Way Back Continue Resting in Peace Meshach Yebei,"[('William', 'POLITICIAN'), ('Ruto', 'RUTO')]"
3,Annastacia Kiatu Kivue,Eeeeiii when you are on Top  you'll always be a topic.,Eeeeiii when you are on Top youll always be a topic,[]
4,Moses Kirui,"It is a headache, but deep I know it will fail,whoever is destined by fate will be,regardless of the obstacles, why now? Every, plan, schemes, will fail, and will work for his good",It is a headache but deep I know it will failwhoever is destined by fate will beregardless of the obstacles why now Every plan schemes will fail and will work for his good,"[('of', 'POLITICAL_PARTY'), ('and', 'POLITICAL_PARTY'), ('for', 'POLITICAL_PARTY')]"
5,Kevin Dola,"The land grabber is full of hatred and revengeful, i wonder what he goes to do in church with all the insults and hatred",The land grabber is full of hatred and revengeful i wonder what he goes to do in church with all the insults and hatred,"[('of', 'POLITICAL_PARTY'), ('and', 'POLITICAL_PARTY'), ('and', 'POLITICIAN')]"
6,Kaka Orege,Am sure MDVD is following closely....can someone remind him what happened in 2013?....,Am sure MDVD is following closelycan someone remind him what happened in ,[]
7,Wanyaga Wachira,"We all know who is pushing this thing, Ruto the 5th 💪💪💪",We all know who is pushing this thing Ruto the th,"[('Ruto', 'RUTO')]"
8,Obed Ngumbi,Our deputy is a man of God and no weapon formed against him will prosper God will protect him,Our deputy is a man of God and no weapon formed against him will prosper God will protect him,"[('of', 'POLITICAL_PARTY'), ('and', 'POLITICAL_PARTY')]"
9,Sheila Kemunto,Ruto will never be the president of this country. NEVER yake inakwisha this August,Ruto will never be the president of this country NEVER yake inakwisha this August,"[('Ruto', 'RUTO'), ('of', 'POLITICAL_PARTY')]"
10,Javan John,"It should not be used against ruto since it will be taken as a political move. Anyway ICC is not a big deal, uhuruto were elected when at ICC. Not a supporter of him(ruto) but that case should not worry him.",It should not be used against ruto since it will be taken as a political move Anyway ICC is not a big deal uhuruto were elected when at ICC Not a supporter of himruto but that case should not worry him,"[('of', 'POLITICAL_PARTY')]"
11,Hezron Omusula,The blood and souls of those burnt in that kiambaa church will never Rest in peace until Icc turns all the Stones,The blood and souls of those burnt in that kiambaa church will never Rest in peace until Icc turns all the Stones,"[('and', 'POLITICIAN'), ('of', 'POLITICAL_PARTY')]"
12,Julius K. Muiga,"May the justice of idp's be prevailed, and the so called dp face the music",May the justice of idps be prevailed and the so called dp face the music,"[('of', 'POLITICAL_PARTY'), ('and', 'POLITICIAN')]"
13,Alex Saidimu,"Ruto won't even have time to hear any of the icc hearing it doesn't concern him.Nyinyi mtumike vibaya kueneza  chili dhidi ya ruto but once we get into the state house,We recommend Ruto to only issue KCB a license to broadcast verifiable news contrary to what most of you fools are  feeding us there.Very partisan.",Ruto wont even have time to hear any of the icc hearing it doesnt concern himNyinyi mtumike vibaya kueneza chili dhidi ya ruto but once we get into the state houseWe recommend Ruto to only issue KCB a license to broadcast verifiable news contrary to what most of you fools are feeding us thereVery partisan,"[('Ruto', 'RUTO'), ('of', 'POLITICAL_PARTY'), ('Ruto', 'RUTO'), ('of', 'POLITICAL_PARTY')]"
14,Timothy Kimoi,"During ruling of case of William Ruto & Joshua Sang, Obue Osuji said this case has been heard to beyond reasonable doupt, that both accuces are innocent, hence this cace will NOT be heard again in ICC or any court in the world, so Ruto has nothing to fear because his case was completely terminated.",During ruling of case of William Ruto  Joshua Sang Obue Osuji said this case has been heard to beyond reasonable doupt that both accuces are innocent hence this cace will NOT be heard again in ICC or any court in the world so Ruto has nothing to fear because his case was completely terminated,"[('of', 'POLITICAL_PARTY'), ('of', 'POLITICAL_PARTY'), ('William', 'POLITICIAN'), ('Ruto', 'RUTO'), ('Joshua', 'POLITICIAN'), ('Ruto', 'RUTO')]"
15,Damaris Cimba,Is ICC part of Uhuraila property or they also can take bribe ?why bring the case at this time if it is not Uhuraila weapi to stop ruto you men remember your days will surely come to an end one day !! don't behave as if you helped God creat the Earth !!,Is ICC part of Uhuraila property or they also can take bribe why bring the case at this time if it is not Uhuraila weapi to stop ruto you men remember your days will surely come to an end one day  dont behave as if you helped God creat the Earth ,"[('of', 'POLITICAL_PARTY'), ('one', 'UHURU')]"
16,Mil Cheb C,"Only Ruto among the five to stand trial,is he the only one that caused all that?!",Only Ruto among the five to stand trialis he the only one that caused all that,"[('Ruto', 'RUTO'), ('one', 'UHURU')]"
17,Charo Hanjari,I wish Kenyans will realise that despite fighting for those politicians with zeal and zest our politicians  will not fight for our daily battles and hustles .Always preserve your energy to fight for yourself and life.God bless Kenya,I wish Kenyans will realise that despite fighting for those politicians with zeal and zest our politicians will not fight for our daily battles and hustles Always preserve your energy to fight for yourself and lifeGod bless Kenya,"[('for', 'POLITICAL_PARTY'), ('and', 'POLITICAL_PARTY'), ('for', 'POLITICAL_PARTY'), ('and', 'POLITICAL_PARTY'), ('for', 'POLITICAL_PARTY'), ('and', 'POLITICIAN'), ('Kenya', 'POLITICAL_PARTY')]"
18,Joy Joanne,Deep state endeleeni kuskuma tu...God is with Ruto and nothing much to worry,Deep state endeleeni kuskuma tuGod is with Ruto and nothing much to worry,"[('Ruto', 'RUTO'), ('and', 'POLITICAL_PARTY')]"
19,Jecinta Muturi,"But i like the idea of,, Ruto's lawyer Khalim Khan,,is now the ICC procecutor 🙄🙄🙄🙄",But i like the idea of Rutos lawyer Khalim Khanis now the ICC procecutor,"[('of', 'POLITICAL_PARTY'), ('Ruto', 'RUTO')]"
20,Wanjo Wanjoz,I dont trust ICC.it acts like a kangaroo court.Its rulings are influenced by  non members...u. s .a . being one of them.,I dont trust ICCit acts like a kangaroo courtIts rulings are influenced by non membersu s a  being one of them,"[('one', 'UHURU'), ('of', 'POLITICAL_PARTY')]"
21,Edel Njoki,"That's nothing to stress Ruto,Ati ICC?",Thats nothing to stress RutoAti ICC,"[('Ruto', 'RUTO')]"
22,Euslah Chumba,ICC was there during Uhuru Ruto team .. Uhuru became the president so may God of Daniel protect Ruto the 5th,ICC was there during Uhuru Ruto team  Uhuru became the president so may God of Daniel protect Ruto the th,"[('Uhuru', 'UHURU'), ('Ruto', 'RUTO'), ('Uhuru', 'UHURU'), ('of', 'POLITICAL_PARTY'), ('Daniel', 'POLITICIAN'), ('Ruto', 'RUTO')]"
23,Dominic Machoka,"With God everything is possible to our fifh president who we love, HE WILLIAM RUTO",With God everything is possible to our fifh president who we love HE WILLIAM RUTO,[]
24,Mbui Mwangi,ICC is nothing it has never being a thing,ICC is nothing it has never being a thing,[]
25,Kambela Henri,Burning innocent kikuyus in a church is no Small crime.,Burning innocent kikuyus in a church is no Small crime,[]
26,Victor Kaunyangi,ICC Campaigning for him by securing sympathy votes,ICC Campaigning for him by securing sympathy votes,"[('for', 'POLITICAL_PARTY')]"
27,Ann Milysa Alisa,God protect Ruto please,God protect Ruto please,"[('Ruto', 'RUTO')]"
28,Michael Múngai,wastage of time coupled with unnecessary furore,wastage of time coupled with unnecessary furore,"[('of', 'POLITICAL_PARTY')]"
29,John Rapando,Ruto is giving people sleepless nights. Making headlines daily.,Ruto is giving people sleepless nights Making headlines daily,"[('Ruto', 'RUTO')]"
30,Imahnwel Osuurah,The truth will prevail no matter what,The truth will prevail no matter what,[]
31,Wilfred Willy Reborn,Ruto deserves Icc,Ruto deserves Icc,"[('Ruto', 'RUTO')]"
32,Mark Mill,Karim khan is there nothing to panic,Karim khan is there nothing to panic,[]
33,Tom Omollo,Mukora and the pretender so this is what we want to lead as,Mukora and the pretender so this is what we want to lead as,"[('and', 'POLITICAL_PARTY')]"
34,Msafii Wizmond,"NTV please,mind your work",NTV pleasemind your work,[]
35,Rogers Njagi Micheni,"Ruto can only be jailed alongside Uhuru and Raila if not that we will stop reggae, #ifyoudontgerritforgetaboutit",Ruto can only be jailed alongside Uhuru and Raila if not that we will stop reggae,"[('Ruto', 'RUTO'), ('Uhuru', 'UHURU'), ('and', 'POLITICAL_PARTY'), ('Raila', 'RAILA')]"
36,Kenyan Kipro Too,Big win to Ruto,Big win to Ruto,"[('Ruto', 'RUTO')]"
37,Francis Soloo,This guy must appear in Netherlands as 🔜 as possible without second thought. Inahitajika afungwe mara Moja take these to the nearest kcb,This guy must appear in Netherlands as as possible without second thought Inahitajika afungwe mara Moja take these to the nearest kcb,[]
38,Nelly Kdr,"Which headache, it's only Nation which has a headche with this issues, but najua majority of the editorial team at nation are luos",Which headache its only Nation which has a headche with this issues but najua majority of the editorial team at nation are luos,"[('of', 'POLITICAL_PARTY')]"
39,Jamcheoz Gitonga,Some Pple will NOT appear in the ballot box,Some Pple will NOT appear in the ballot box,[]
40,Muthiora Njuguna,"No problem panadol, Apc, sonadol, Mara moja ziko and if headache persist he will consult a doctor and if worse comes to worst death which is a must to everyone. Ruto endelea na campaign what is going on in ICC is hearsay no facts.",No problem panadol Apc sonadol Mara moja ziko and if headache persist he will consult a doctor and if worse comes to worst death which is a must to everyone Ruto endelea na campaign what is going on in ICC is hearsay no facts,"[('and', 'POLITICIAN'), ('and', 'POLITICAL_PARTY'), ('Ruto', 'RUTO')]"
41,Kinuthia Mugiia,God is there for you out 5th president of Kenya,God is there for you out th president of Kenya,"[('for', 'POLITICAL_PARTY'), ('of', 'POLITICAL_PARTY'), ('Kenya', 'POLITICAL_PARTY')]"
42,Willard Kemboi,That is according to NTV health centre.,That is according to NTV health centre,[]
43,John M. Mwangi,The neocolonialist will never choose a leader for us,The neocolonialist will never choose a leader for us,"[('for', 'POLITICAL_PARTY')]"
44,Aggrey Bitonye,"We need peace, nothing more",We need peace nothing more,[]
45,Mebur Silas Leton,We are way long passed icc.,We are way long passed icc,[]
46,John Gichuki,"NTV don't think we are fool okay, Kenyan have moved on don't bring your nonsense here.",NTV dont think we are fool okay Kenyan have moved on dont bring your nonsense here,[]
47,Ruto Vs Raila,Stop all this people is not afairat all.,Stop all this people is not afairat all,[]
48,Mebur Silas Leton,The same icc that said kenya is in somalia🤣🤣🤣🤣,The same icc that said kenya is in somalia,[]
49,Moss N Mutuku,According with situation now  wsr is about to go exile,According with situation now wsr is about to go exile,[]
50,Michael Nguri,Roto to be president of sugoi country,Roto to be president of sugoi country,"[('of', 'POLITICAL_PARTY')]"
51,Jeff van Mbai,rutonism is not athreat at all on political ground allow him on the ballot,rutonism is not athreat at all on political ground allow him on the ballot,[]
52,Ruto Murkomen,Why election time? this is pure politics.,Why election time this is pure politics,[]
53,Wamothee Waquito,Our fifth is not going anywhere,Our fifth is not going anywhere,[]
54,Elvis Salano,Media y are u inciting people anyway I know Ruto is not linked but u are here to sale,Media y are u inciting people anyway I know Ruto is not linked but u are here to sale,"[('Ruto', 'RUTO')]"
55,Mwangi Michael,A sigh of victory just like yr 2013,A sigh of victory just like yr,"[('of', 'POLITICAL_PARTY')]"
56,James Ndung'u,No wonder Ruto is begging for 5 years only.Tano tu.He has forgotten he has served for 9 years and failed kenyans.He should refund kenyans the 4 excess years.,No wonder Ruto is begging for years onlyTano tuHe has forgotten he has served for years and failed kenyansHe should refund kenyans the excess years,"[('Ruto', 'RUTO'), ('for', 'POLITICAL_PARTY'), ('for', 'POLITICAL_PARTY'), ('and', 'POLITICAL_PARTY')]"
57,Fortunators Ibrahimovic Karioki,Mudavadi is happy now,Mudavadi is happy now,"[('Mudavadi', 'POLITICIAN')]"
58,AmeNiblock Mpenda WatuWote,"Last time Ruto Survived, this time round hatoboi, the Spirit of Yebei is catching up with him very fast.",Last time Ruto Survived this time round hatoboi the Spirit of Yebei is catching up with him very fast,"[('Ruto', 'RUTO'), ('of', 'POLITICAL_PARTY')]"
59,Anne Awuor Awuor,These are just politics,These are just politics,[]
60,Robert Kiggundu,The Hustler will surely overcome,The Hustler will surely overcome,[]
61,Murimi Dennis,Why ruto. Has the lawyer mentioned ruto by name??.. Did the lawyer meet ruto anywhere?,Why ruto Has the lawyer mentioned ruto by name Did the lawyer meet ruto anywhere,[]
62,Hezbon Onoka,A key witness named Yebei was found dead Mr Do it's believed that Soo many soul's are not at peace and their blood is on your hand ungekuwa mtu msafi hta mm ningekupea Kura lakini naogopa.,A key witness named Yebei was found dead Mr Do its believed that Soo many souls are not at peace and their blood is on your hand ungekuwa mtu msafi hta mm ningekupea Kura lakini naogopa,"[('and', 'POLITICIAN')]"
63,Hellen Kiptanui,This guy's hand is too dirty to receive the instruments of power.,This guys hand is too dirty to receive the instruments of power,"[('of', 'POLITICAL_PARTY')]"
64,Great Blackmailer,Interfered with witnesses,Interfered with witnesses,[]
65,Benerde KE,Nan amewafunza kizungu😹😅😅🤦this is not always ur way of writing headlines 🥴🙆‍♂️😏🙆‍♂️🙆‍♂️,Nan amewafunza kizunguthis is not always ur way of writing headlines,"[('of', 'POLITICAL_PARTY')]"
66,Kamande David,They will try try try try try and try but nothing will happen  we know you and your plan you and will not succeed,They will try try try try try and try but nothing will happen we know you and your plan you and will not succeed,"[('and', 'POLITICAL_PARTY'), ('and', 'POLITICAL_PARTY'), ('and', 'POLITICAL_PARTY')]"
67,Joshua Muema,He should be there too,He should be there too,[]
68,Cossy Kinanga,Ruto the 5th. 💪,Ruto the th,"[('Ruto', 'RUTO')]"
69,James Ndung'u,No wonder mudavadi said that Ruto is not the automatic candidate of Kenya kwanza alliance.Some said Atwoli ni wazimu.,No wonder mudavadi said that Ruto is not the automatic candidate of Kenya kwanza allianceSome said Atwoli ni wazimu,"[('Ruto', 'RUTO'), ('of', 'POLITICAL_PARTY'), ('Kenya', 'POLITICAL_PARTY')]"
70,Wabwire Vin,Ruto is guilty,Ruto is guilty,"[('Ruto', 'RUTO')]"
71,Muket Jnr,Gicheru and Ruto are two different nouns.How? Media ya kina bladifwaaaks,Gicheru and Ruto are two different nounsHow Media ya kina bladifwaaaks,"[('and', 'POLITICAL_PARTY'), ('Ruto', 'RUTO')]"
72,John Mwangi,To Ruto not a big deal..,To Ruto not a big deal,"[('Ruto', 'RUTO')]"
73,Kip Kiplimo Kirui,no headache..had Gicheru pleaded guilty!!,no headachehad Gicheru pleaded guilty,[]
74,Stephen Philip Ochieng Akoth,Small minds in competition becomes vindictive and violent 🚣 🚥🚥🚥🚥🚥🚥🚥,Small minds in competition becomes vindictive and violent,"[('and', 'POLITICAL_PARTY')]"
75,Benjamin Mwongela,"Gicheru for himself,,, Ruto the 5th president.",Gicheru for himself Ruto the th president,"[('for', 'POLITICAL_PARTY'), ('Ruto', 'RUTO')]"
76,Austine Okello,I can't judge let God's will happen,I cant judge let Gods will happen,[]
77,Benjamin Simotwo,Headache to NTV not DP,Headache to NTV not DP,"[('DP', 'POLITICAL_PARTY')]"
78,John Mutuku,Which headache. Who has evidence of what's being pushed politically.,Which headache Who has evidence of whats being pushed politically,"[('of', 'POLITICAL_PARTY')]"
79,Mshindi Alfajiri,God is ahead,God is ahead,[]
80,Bernard Kipkosgei,And did he tell you he has headache,And did he tell you he has headache,[]
81,Sammi Karhino,Is this a big issue to hustler now?????,Is this a big issue to hustler now,[]
82,Aggrey Bitonye,"Feel free, that is aforgone case",Feel free that is aforgone case,[]
83,Jotham Barasa,"Headache fundu shina!, Nothing will stop the chief hustler from becoming the next CIC",Headache fundu shina Nothing will stop the chief hustler from becoming the next CIC,[]
84,Eliud Mwangi Kahiga,The case started on a bad foot..,The case started on a bad foot,[]
85,Kipruto Bii,Ruto is our 5th president💪👑💛,Ruto is our th president,"[('Ruto', 'RUTO')]"
86,Kipkirui Felix,The problem is Raila will never become president,The problem is Raila will never become president,"[('Raila', 'RAILA')]"
87,Lizz Graham,I will vote him while at ICC opening that file won't change my mind,I will vote him while at ICC opening that file wont change my mind,[]
88,Prince Raph,Ati headache😀😀😀😀.. Thts a walk in the park for the hustler... Its Gicheru who is there n not Ruto...Don't exaggerate...,Ati headache Thts a walk in the park for the hustler Its Gicheru who is there n not RutoDont exaggerate,"[('for', 'POLITICAL_PARTY'), ('Ruto', 'RUTO')]"
89,Caroline Muto,mudavDi for president asap,mudavDi for president asap,"[('for', 'POLITICAL_PARTY')]"
90,Blaxin Kamau Ndungu,mungu atampigania Dr. William kipchirchir samoei arap ruto.,mungu atampigania Dr William kipchirchir samoei arap ruto,"[('Dr. William', 'RUTO')]"
91,Nyash KE,What is ICC now ??,What is ICC now ,[]
92,LA Mpario,Justice be our Shield and defender ...Haki itendeke kwa wote,Justice be our Shield and defender Haki itendeke kwa wote,"[('and', 'POLITICAL_PARTY')]"
93,Kevo Kimuu,Ntv the most biased tv station,Ntv the most biased tv station,[]
94,Bearing Capacity,"Ewe mungu ulie mbinguni, jina lako lisikike. Jaalia huyu mtu afungwe kama alihusika na mauwaji ya aina yoyote kwa mtu yeyote hata kama ni abortion. Nayeye ahukumiwe kifo",Ewe mungu ulie mbinguni jina lako lisikike Jaalia huyu mtu afungwe kama alihusika na mauwaji ya aina yoyote kwa mtu yeyote hata kama ni abortion Nayeye ahukumiwe kifo,[]
95,Joy Joanne,Kwani Ruto amewaambia ako na  some headache??????,Kwani Ruto amewaambia ako na some headache,"[('Ruto', 'RUTO')]"
96,Douglas Ndambuki,"People will be puzzled,WSR,is okay,hizo ni vitu zilipitwa na wakati kitambo,ni watu wachache wako na wivu wa kuzaliwa nao ,na hiyo dawa hamna mashani mwao,Ruto na Raila wote ni wakenya wenzetu,yule atashinda mimi kivyangu nitatosheka  na keshoe niamkie kulima nkingojea mvua ya Oct/Nov,kwanini hizi mbwembwe za mwizi wa KEMSA mwizi wa MASHAMBA, where were you when. those things were being stolen?",People will be puzzledWSRis okayhizo ni vitu zilipitwa na wakati kitamboni watu wachache wako na wivu wa kuzaliwa nao na hiyo dawa hamna mashani mwaoRuto na Raila wote ni wakenya wenzetuyule atashinda mimi kivyangu nitatosheka na keshoe niamkie kulima nkingojea mvua ya OctNovkwanini hizi mbwembwe za mwizi wa KEMSA mwizi wa MASHAMBA where were you when those things were being stolen,"[('WSR', 'RUTO'), ('Ruto', 'RUTO'), ('Raila', 'RAILA')]"
97,Ronnex Havi Muhanji,Uhuru and ruto had the same case. Soon wote watarudi uko? Icc united them,Uhuru and ruto had the same case Soon wote watarudi uko Icc united them,"[('Uhuru', 'UHURU'), ('and', 'POLITICAL_PARTY')]"
98,Natrine Mweha,"Nothing to worry about Mr. DP, wenye wivu na chuki wasikusumbue my 5th president.They are wasting their time.",Nothing to worry about Mr DP wenye wivu na chuki wasikusumbue my th presidentThey are wasting their time,"[('Mr. DP', 'POLITICAL_PARTY')]"
99,Sheila Kemunto,We are never going to be huslars hata MUNGU hapendi umaskini.mungu wetu ni tajiri.hatutapangwa please,We are never going to be huslars hata MUNGU hapendi umaskinimungu wetu ni tajirihatutapangwa please,[]
100,Moreno Kemay,"not a headache,. This is a political trauma,. This is not the type that goes away quickly",not a headache This is a political trauma This is not the type that goes away quickly,[]
101,Tito Kirimi,Ruto is past ICC. Labda sasa  mumuue tu.,Ruto is past ICC Labda sasa mumuue tu,"[('Ruto', 'RUTO')]"
102,Collin Kaikai,Naona atwoli alikua anasema ukweli kumbe,Naona atwoli alikua anasema ukweli kumbe,[]
103,M'Kanyaru M'Kanyaru,Hiyo ni yenu ntv continue praising dynasty,Hiyo ni yenu ntv continue praising dynasty,[]
104,Symo Wa Mathari,Baba is fifth President 🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪,Baba is fifth President,"[('Baba', 'RAILA')]"
105,Mwakazi Fred,Life is a two way traffic! Hii itapita mheshimiwa rais be calm.,Life is a two way traffic Hii itapita mheshimiwa rais be calm,[]
106,Mum Marie Na Mwash,hako na kaupepo kanapita tuu,hako na kaupepo kanapita tuu,[]
107,Israel Nyoike,Nyinyi ongeeni za kuzimia wanjinga party,Nyinyi ongeeni za kuzimia wanjinga party,"[('party', 'POLITICAL_PARTY')]"
108,Deep State,Some of you don't know the reason why Mudavadi said that they are yet to know the presidential candidate of Kenya Kwanza Alliance,Some of you dont know the reason why Mudavadi said that they are yet to know the presidential candidate of Kenya Kwanza Alliance,"[('of', 'POLITICAL_PARTY'), ('Mudavadi', 'POLITICIAN'), ('of', 'POLITICAL_PARTY'), ('Kenya', 'POLITICAL_PARTY'), ('Alliance', 'POLITICAL_PARTY')]"
109,Lin Clause,Tuko na nyinyi hii ni yetu,Tuko na nyinyi hii ni yetu,[]
110,Silvanus Awiti Otieno,Asenyiero maol 65 times jina ya mtu moja,Asenyiero maol times jina ya mtu moja,[]
111,Jontey Jontey De Captain,Mtangoja Sana!,Mtangoja Sana,[]
112,Brian Kipkoech,Kwani Bado tunatishwa na issue na ICC we are focus like never....kiti ya president lazima tukalie whichever way,Kwani Bado tunatishwa na issue na ICC we are focus like neverkiti ya president lazima tukalie whichever way,[]
113,Sumaiyya Sabillah,Nakwambia ruto amekua topic ya kila siku,Nakwambia ruto amekua topic ya kila siku,[]
114,Man Lukumbu de Farmer,Kitaeleweka,Kitaeleweka,[]
115,Christopher Sitienei,"Mumekosa kasi ya kufany,next president of is Ruto take that to bank",Mumekosa kasi ya kufanynext president of is Ruto take that to bank,"[('of', 'POLITICAL_PARTY'), ('Ruto', 'RUTO')]"
116,Joan Kaibei,"Why do you people like doom always,today is Ruto,na kesho ni wewe.",Why do you people like doom alwaystoday is Rutona kesho ni wewe,"[('Ruto', 'RUTO')]"
117,McCollins Rutto,Kelele ya chura haimzui ndovu kunywa maji,Kelele ya chura haimzui ndovu kunywa maji,[]
118,Lesh Dan Koech,Hamtatushia hapa... Mambo na icc chukueni mimi wachaneni na ruto amalze kazi.. nkt,Hamtatushia hapa Mambo na icc chukueni mimi wachaneni na ruto amalze kazi nkt,[]
119,Israel Nyoike,Rutooooooooooo Toshaaaaaaaaaaaaaaaa,Rutooooooooooo Toshaaaaaaaaaaaaaaaa,[]
120,John Gichuki,"Big win to Ruto dynasty tafuteni bini zingine,why now mikamo ino",Big win to Ruto dynasty tafuteni bini zinginewhy now mikamo ino,"[('Ruto', 'RUTO')]"
121,Ann Peggy,Aaah....yuko ndani ya moshi....Ama..???,Aaahyuko ndani ya moshiAma,[]
122,Josh Wex,Atwoli ni kama alisema ukweli,Atwoli ni kama alisema ukweli,[]
123,Charles Maina,Ruto  Tosha,Ruto Tosha,"[('Ruto', 'RUTO')]"
124,Naomi Njuguna,No case they,No case they,[]
125,Izo Mmoja,NTV mdomotu  RUTO the lion,NTV mdomotu RUTO the lion,[]
126,Mca Pish Mgunner Chingwe,"Azimio wanatafuta kila njia ya kusimamisha ruto,",Azimio wanatafuta kila njia ya kusimamisha ruto,"[('Azimio', 'POLITICAL_PARTY')]"
127,Bismark Tich,Io ni kidogo,Io ni kidogo,[]
128,Simon Chege,Even 2012 tulikua tunatishwa na icc,Even tulikua tunatishwa na icc,[]
129,Japhat Kiama,"Which headache?sisi tuko kwa siasa nanii,hio haitustui wanaUDA",Which headachesisi tuko kwa siasa naniihio haitustui wanaUDA,[]
130,Martin Mwams,Why now? Calculated moves,Why now Calculated moves,[]
131,Shitseswa Victoria Esther,Hakuna picha ingine ungetumia 😂,Hakuna picha ingine ungetumia,[]
132,Sijui Itakuaje,Face the reality.. Wamama bado wanalaani ..,Face the reality Wamama bado wanalaani ,[]
133,Adryane Mkurugenzi,Ruto anyongwe,Ruto anyongwe,"[('Ruto', 'RUTO')]"
134,Caroline Muto,Moto Kama pasii,Moto Kama pasii,[]
135,Odulla Wilkings,Siogei mimi  nlikua siko apo huo wakati kila moja abebee mshlaba wake.,Siogei mimi nlikua siko apo huo wakati kila moja abebee mshlaba wake,[]
136,Hesbon Lempa,"Hii ni upuzi,,,itamwongezea kura",Hii ni upuziitamwongezea kura,[]
137,Willy Undah,Niko na wwe ruto nakuombea,Niko na wwe ruto nakuombea,[]
138,Kelvinew Mutaiy,Siasa,Siasa,[]
139,Gilbert Kiplelgo,Zaitani nyinyi,Zaitani nyinyi,[]
140,Njoroge Kagwe,"Bring it on ,, WSR mpaka mwisho endeleeni kundanganya guuka",Bring it on  WSR mpaka mwisho endeleeni kundanganya guuka,"[('WSR', 'RUTO')]"
141,Caleb Mwenga,Ati #Headache.... Na mnaweka picha in suit your reporting! Our so Called Media,Ati  Na mnaweka picha in suit your reporting Our so Called Media,[]
